dialogue_id,dialogue,num_tokens
2061122000,"Welcome to the CMU Let's Go bus information system.
To get help at any time, just say Help or press zero.
What can I do for you?
54C 
The 54C . Did I get that right?
YES 
Okay
Where do you wanna leave from?
SOUTH HILLS JUNCTION 
Leaving from SOUTH HILLS JUNCTION . Did I get that right?
YES FROM 
If you want to leave from SOUTH HILLS JUNCTION say yes or press one, otherwise say no or press three.
YES 
Right
Where do you want to go?
YES 
For example, you can say, SOUTH HILLS JUNCTION, FIFTH AT BIGELOW, or THE SOUTH SIDE.
NORTH SIDE 
Going to NORTH SIDE . Is this correct?
YES 
Okay
When do you want to travel?
NOW 
I think you want the next bus . Am I right?
YES 
Okay
Just a minute. Let me check that for you.
The next 54C leaves SOUTH HILLS JUNCTION at 12 31 a.m. , and arrives at ALLEGHENY SQUARE WEST AT STOP NUMBER 2 at 1 20 a.m. .
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.",297
2061122001,"Welcome to the CMU Let's Go bus information system.
To get help at any time, just say Help or press zero.
What can I do for you?
BUS SCHEDULE 
For example, you can say, when is the next 28X from DOWNTOWN to THE AIRPORT? or I'd like to go from MCKEESPORT to HOMESTEAD tomorrow at 10 a.m..
THE NEW TO SQUIRREL HILL 
Going to SQUIRREL HILL . Is this correct?
WHAT AM YES 
Right
Where are you leaving from?
CMU 
Leaving from CMU . Did I get that right?
YES 
Alright
When are you going to take that bus?
ONE A M THAT 
Leaving at 1 a.m. . Did I get that right?
YES 
Okay
Hold on. I'll look that up.
There is a 61C leaving FORBES AVENUE AT CARNEGIE MELLON MOREWOOD at 1 18 a.m. . It will arrive at MURRAY AVENUE AT DARLINGTON at 1 28 a.m. .
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.
You can say, when is the next bus, when is the previous bus, start a new query, or goodbye.
WHEN IS THE PREVIOUS BUS WHAT IS THE PREVIOUS BUS 
Just a second.
There is a 61A leaving FORBES AVENUE AT CARNEGIE MELLON MOREWOOD at 12 59 a.m. . It will arrive at FORBES AVENUE AT MURRAY at 1 oh 4 a.m. .
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.
WHEN IS THE PREVIOUS BUS 
Okay.
There is a 61C leaving FORBES AVENUE AT CARNEGIE MELLON MOREWOOD at 12 33 a.m. . It will arrive at MURRAY AVENUE AT DARLINGTON at 12 43 a.m. .
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.
WHEN IS NEXT BUS 
Just a second.
There is a 61A leaving FORBES AVENUE AT CARNEGIE MELLON MOREWOOD at 12 59 a.m. . It will arrive at FORBES AVENUE AT MURRAY at 1 oh 4 a.m. .
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.
WHEN IS THE NEXT BUS 
Just a second.
There is a 61C leaving FORBES AVENUE AT CARNEGIE MELLON MOREWOOD at 1 18 a.m. . It will arrive at MURRAY AVENUE AT DARLINGTON at 1 28 a.m. .
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.
WHEN IS THE NEXT BUS 
Just a second.
I'm sorry, but there is no bus that goes between cmu and SQUIRREL HILL at that time.
To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.
GOODBYE 
Thank you for using the cmu Let's Go Bus Information System. Goodbye.",885
2061122002,"Welcome to the CMU Let's Go bus information system.
To get help at any time, just say Help or press zero.
What can I do for you?
SCHEDULE 
For example, you can say, when is the next 28X from DOWNTOWN to THE AIRPORT? or I'd like to go from MCKEESPORT to HOMESTEAD tomorrow at 10 a.m..
WHEN IS THE NEXT 28X FROM DOWNTOWN TO THE AIRPORT 
Leaving from DOWNTOWN . Did I get that right?
YES 
Right
Going to THE AIRPORT . Is this correct?
YES 
Right
I think you want the next bus . Am I right?
YES 
Alright
The 28X . Did I get that right?
YES 
Right
Hold on. I'll look that up.
I'm sorry, but there is no 28X between DOWNTOWN and THE AIRPORT for the rest of the day.
To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.
START A NEW QUERY 
Okay, let's start from the beginning.
What can I do for you?
I NEED THE 28X FROM DOWNTOWN TO THE TO AIRPORT PASS AT A M 
Leaving from DOWNTOWN . Is this correct?
YES 
Okay
Going to AIRPORT . Did I get that right?
YES 
Right
The 28X . Is this correct?
YES 
Alright
At what time would you like to travel?
FIVE A M 
Leaving at 5 a.m. . Did I get that right?
YES 
Okay
Just a minute. I'll look that up.
There is a 28X leaving SEVENTH AVENUE AT SMITHFIELD at 5 13 a.m. . It will arrive at THE AIRPORT at 5 47 a.m. .
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.",454
2061122003,"Welcome to the CMU Let's Go bus information system.
To get help at any time, just say Help or press zero.
What can I do for you?
I NEED INFORMATION ON THE 56C 
The 56C . Is this correct?
56C 
The 56C . Is this correct?
LEBANON ROAD AND NOBLE WATERFRONT 
The 56C . Is this correct?
YES 
Alright
I'm sorry but I do not have the schedule for the 56C . The routes I currently cover are the following: 28X, 54C, 56U, 59U, 61A, 61B, 61C, 61D, 61F, 64A, 69A, and 5 oh 1.
What can I do for you?
ON THE TO GET TO THE 
For example, you can say, when is the next 28X from DOWNTOWN to THE AIRPORT? or I'd like to go from MCKEESPORT to HOMESTEAD tomorrow at 10 a.m..
ALL THE WATERWORKS MALL IN HOEMSTEAD 
WATERWORKS MALL . Is this correct?
AND 
If you a bus for WATERWORKS MALL say yes or press one, otherwise say no or press three.
YES 
Okay
I'm sorry but I do not have the schedule for buses serving WATERWORKS MALL . Currently, I only cover some routes in the following neighborhoods: Downtown, Oakland, Shadyside, Squirrel Hill, Homestead, McKeesport, and the airport.
What can I do for you?
HOMESTEAD 
Leaving from HOMESTEAD . Did I get that right?
YES 
Right
Where do you want to go?
OKAY HILL IT BUS FROM HOMESTEAD 
Please use shorter answers because I have trouble understanding long sentences.
What is your destination?
IN THE DOWNTOWN PITTSBURGH 
Going to DOWNTOWN PITTSBURGH . Is this correct?
YES 
Right
When do you wanna travel?
YES 
When do you wanna travel?
THE NEXT BUS FROM HOMESTEAD DOWNTOWN PITTSBURGH 
I think you want the next bus . Am I right?
NO COMING FROM HOMESTEAD TO DOWNTOWN PITTSBURGH BELL AND JOHNS 
At what time do you want to travel?
FROM LEAVING 
For example, you can say, 10:30 in the morning, or I want to arrive by 3 p m, or i want the next bus.
ELEVEN O'CLOCK 
Leaving at 11 p.m. . Did I get that right?
YES 11D AND WANNA DOWNTOWN PITTSBURGH FROM WHERE 
Okay
Hold on. I'll look that up.
I'm sorry, but there is no bus that goes between HOMESTEAD and DOWNTOWN PITTSBURGH at that time.
To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.",656
2061122004,"Welcome to the CMU Let's Go bus information system.
To get help at any time, just say Help or press zero.
What can I do for you?
THE 
For example, you can say, when is the next 28X from DOWNTOWN to THE AIRPORT? or I'd like to go from MCKEESPORT to HOMESTEAD tomorrow at 10 a.m..
MEAN B 
The B . Did I get that right?
TO WOOD STREET 
The B . Is this correct?
54C 
The B . Did I get that right?
NO 
Going to WOOD STREET . Did I get that right?
NO 
The 54C . Did I get that right?
YES AGAIN 
If you want the schedule of the 54C say yes or press one, otherwise say no or press three.
YES 
Right
Where do you wanna leave from?
YES 
For example, you can say, SOUTH HILLS JUNCTION, FIFTH AT BIGELOW, or THE SOUTH SIDE.
ONTO 
(009): 
Let's procede step by step.
In what neighborhood is your departure stop?
LEAVING NORTH SIDE 
Leaving from NORTH SIDE . Did I get that right?
YES 
Okay
Where in NORTH SIDE do you want to leave from?
YES GOING TO POLISH HILL 
For example, you can say, SOUTH HILLS JUNCTION, FIFTH AT BIGELOW, or THE SOUTH SIDE. If you're not sure about the name of the stop, you can say I don't know.
T ROBINSON 
Leaving from ROBINSON . Is this correct?
THEM YOU DIDN'T EAST OHIO STREET 
Leaving from ROBINSON . Is this correct?
TO POLISH HILL 
If you want to leave from ROBINSON say yes or press one, otherwise say no or press three.
NO 
Leaving from EAST OHIO STREET . Did I get that right?
YES 
Alright
Where are you going?
TO POLISH HILL 
Going to POLISH HILL . Is this correct?
YES 
Okay
When do you wanna travel?
YES 
When do you wanna travel?
NOW 
I think you want the next bus . Am I right?
YEAH 
Alright
Hold on. I'll look that up.
The next 54C leaves EAST OHIO STREET AT NASH ISLAND at 7 25 p.m. , and arrives at DOBSON STREET AT HERRON at 7 51 p.m. .
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.
WHEN IS THE NEXT BUS 
Okay.
There is a 54C leaving EAST OHIO STREET AT NASH ISLAND at 8 50 p.m. . It will arrive at DOBSON STREET AT HERRON at 9 11 p.m. .
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.",687
2061122005,"Welcome to the CMU Let's Go bus information system.
To get help at any time, just say Help or press zero.
What can I do for you?",33
2061122006,"Welcome to the CMU Let's Go bus information system.
To get help at any time, just say Help or press zero.
What can I do for you?
For example, you can say, when is the next 28X from DOWNTOWN to THE AIRPORT? or I'd like to go from MCKEESPORT to HOMESTEAD tomorrow at 10 a.m..
DTMF_ZERO 
I am an automated spoken dialogue system that can give you schedule information for bus routes in Pittsburgh's East End. You can ask me about the following buses: 28X, 54C, 56U, 59U, 61A, 61B, 61C, 61D, 61F, 64A, 69A, and 501.
What bus schedule information are you looking for?
For example, you can say, when is the next 28X from DOWNTOWN to THE AIRPORT? or I'd like to go from MCKEESPORT to HOMESTEAD tomorrow at 10 a.m..
SHHHHH 
For example, you can say, when is the next 28X from DOWNTOWN to THE AIRPORT? or I'd like to go from MCKEESPORT to HOMESTEAD tomorrow at 10 a.m..
BITCH 
(004): 
Where would you like to leave from?
(006): 
Let's procede step by step.
Which neighborhood do you want to leave from?
TWENTY FIRST STREET BRIDGE 
Leaving from FIRST STREET . Did I get that right?
YES 
Alright
Where are you going?
PITTSBURGH 
Going to PITTSBURGH . Is this correct?
DOWNTOWN 
Going to PITTSBURGH . Did I get that right?
YES 
Right
When are you going to take that bus?
YES 
When do you want to travel?
THE SEVENTH 
When are you going to take that bus?",412
2061122007,"Welcome to the CMU Let's Go bus information system.
To get help at any time, just say Help or press zero.
What can I do for you?
SATURDAY KNOW WHAT TIME THE 61A IS THE 
The 61A . Did I get that right?
DOWNTOWN 
The 61A . Did I get that right?
YES 
Right
Leaving from DOWNTOWN . Is this correct?
YES 
Right
Where are you going?
FROM EAST PITTSBURGH 
For example, you can say, NORTH BRADDOCK, FORBES AND MURRAY, or DOWNTOWN.
NORTH BRADDOCK 
Going to NORTH BRADDOCK . Is this correct?
YES 
Alright
When do you want to travel?
NOW 
You want the next bus . Is this correct?
YES 
Right
Just a minute. I'll look that up.
The next 61A leaves FORBES AVENUE AT STANWIX at 7 40 p.m. , and arrives at BELL AVENUE AT LIBRARY JONES at 8 33 p.m. .
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.",291
2061122008,"Welcome to the CMU Let's Go bus information system.
To get help at any time, just say Help or press zero.
What can I do for you?
HELP 
I am an automated spoken dialogue system that can give you schedule information for bus routes in Pittsburgh's East End. You can ask me about the following buses: 28X, 54C, 56U, 59U, 61A, 61B, 61C, 61D, 61F, 64A, 69A, and 501.
What bus schedule information are you looking for?
For example, you can say, when is the next 28X from DOWNTOWN to THE AIRPORT? or I'd like to go from MCKEESPORT to HOMESTEAD tomorrow at 10 a.m..
WHEN IS THE ONE C 
Leaving at 1 a.m. . Did I get that right?
WHERE DID A 61C 
Leaving at 1 a.m. . Is this correct?
61C 
Leaving at 1 a.m. . Did I get that right?
NO 
The 61C . Is this correct?
YES 
Right
Where would you like to leave from?
EIGHTH AND ANN 
Leaving from EIGHTH AND ANN . Did I get that right?
YES 
Right
Where do you wanna go?
DUQUESNE 
Going to DUQUESNE . Is this correct?
YES 
Alright
When would you like to travel?
NOW 
You want the next bus . Is this correct?
YES 
Okay
Hold on. Let me check that for you.
The next 61C leaves EIGHTH AVENUE AT ANN at 7 45 p.m. , and arrives at SECOND STREET AT GRANT at 7 59 p.m. .
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.
YES 
You can say, when is the next bus, when is the previous bus, start a new query, or goodbye.",460
2061122009,"Welcome to the CMU Let's Go bus information system.
To get help at any time, just say Help or press zero.
What can I do for you?
BUS 
For example, you can say, when is the next 28X from DOWNTOWN to THE AIRPORT? or I'd like to go from MCKEESPORT to HOMESTEAD tomorrow at 10 a.m..
I NEED TO GO FROM CAN'T 
(001): 
Where do you wanna leave from?
TOLD ME WATERFRONT 
Leaving from WATERFRONT . Did I get that right?
OAKLAND 
Leaving from OAKLAND . Did I get that right?
EIGHTH AVENUE AND DICKSON ROSLYN AND NOBLE WATERFRONT 
Leaving from OAKLAND . Did I get that right?
YES 
Right
Where do you wanna go?
NEXT BUS 
For example, you can say, FORBES AND MURRAY, DOWNTOWN, or MCKEESPORT.
AND 
I can't understand loud speech. Please speak more quietly.
Where are you going?
WHAT 
Sorry, I understand people best when they speak softer.
What is your destination?
WATERFRONT 
Going to WATERFRONT . Is this correct?
YES 
Alright
When do you wanna travel?
SATURDAY MORNING 
At what time do you want to travel?
FOUR FIFTY A M 
At what time do you wanna travel?
FIVE A M 
Leaving at 5 a.m. . Is this correct?
YES 
Okay
Just a minute. I'll look that up.
There is a 61C leaving FORBES AVENUE AT BIGELOW SCHENLEY DRIVE at 5 44 a.m. . It will arrive at MONONGAHELA BOULEVARD OPPOSITE EAST WATERFRONT DRIVE at 6 12 a.m. .
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.
WHEN IS THE PREVIOUS BUS 
Just a second.
There is a 61C leaving FORBES AVENUE AT BIGELOW SCHENLEY DRIVE at 4 59 a.m. . It will arrive at MONONGAHELA BOULEVARD OPPOSITE EAST WATERFRONT DRIVE at 5 27 a.m. .
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.
NEW AGAIN P M 
You can say, when is the next bus, when is the previous bus, start a new query, or goodbye.
THIRTEEN AM MCKNIGHT ROAD 
To get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. To ask about a different trip, you can say, start a new query. If you are finished, you can say goodbye.
START A NEW QUERY 
Okay, let's start from the beginning.
What can I do for you?
THE 
For example, you can say, when is the next 28X from DOWNTOWN to THE AIRPORT? or I'd like to go from MCKEESPORT to HOMESTEAD tomorrow at 10 a.m..
I NEED TO GO FROM CAN TOLD IT IS 
(020): 
Where do you want to leave from?
OAKLAND 
Leaving from OAKLAND . Is this correct?
YES 
Okay
Where do you want to go?
SHHHH 
For example, you can say, FORBES AND MURRAY, DOWNTOWN, or MCKEESPORT.
MCKNIGHT ROAD 
MCKNIGHT ROAD . Did I get that right?
YES 
Okay
I'm sorry but I do not have the schedule for buses serving MCKNIGHT ROAD . Currently, I only cover some routes in the following neighborhoods: Downtown, Oakland, Shadyside, Squirrel Hill, Homestead, McKeesport, and the airport.
What can I do for you?
THIRTY THANK YOU 
For example, you can say, when is the next 28X from DOWNTOWN to THE AIRPORT? or I'd like to go from MCKEESPORT to HOMESTEAD tomorrow at 10 a.m..",964
